id,question_id,user_id,word_position,Feature 1,Feature2,label
1,1,1,1,1,1,0
2,1,1,2,2,1,0
3,1,1,3,2,1,1
4,1,1,4,3,1,1
5,1,1,5,4,1,1
6,1,2,1,1,2,0
7,1,2,2,2,2,0
8,1,2,3,3,2,0
9,1,2,4,4,2,0
10,1,2,5,5,2,0
11,1,3,1,2,2,1
12,1,3,2,2,2,1
13,1,3,3,4,2,1
14,1,3,4,4,2,1
15,1,3,5,4,2,1
16,1,4,1,5,4,0
17,1,4,2,5,4,0
18,1,4,3,5,4,0
19,1,4,4,6,4,1
20,1,4,5,5,4,1
21,2,1,1,1,1,0
22,2,1,2,2,1,0
23,2,1,3,2,1,0
24,2,1,4,3,1,0
25,2,1,5,4,1,1
26,2,2,1,1,1,0
27,2,2,2,2,2,0
28,2,2,3,3,2,0
29,2,2,4,4,2,1
30,2,2,5,5,2,1
31,2,3,1,2,2,1
32,2,3,2,2,2,1
33,2,3,3,4,2,1
34,2,3,4,4,2,1
35,2,3,5,4,2,1
36,2,4,1,5,4,0
37,2,4,2,5,4,0
38,2,4,3,5,4,0
39,2,4,4,6,4,0
40,2,4,5,5,4,0
